Channel,Country,Stream
Offener Kanal Nordhausen,Germany,http://radiostream.de/stream/36165.m3u
Oldenburg Eins,Germany,http://radio.oeins.de:8000/oeins.m3u
Oldie-Radio,Germany,http://www.oldie-radio.de:8000/listen.pls
OldieStar Radio,Germany,http://www.oldiestar.de/oldie.pls
osradio 104.8,Germany,http://osr.rcm-hosting.de:8500/listen.pls
Ostseewelle Hit Radio,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ostseewellelive/livestream.mp3.m3u
Planet Radio,Germany,http://streams.planetradio.de/planetradio/mp3/hqlivestream.m3u
Project Reloaded,Germany,http://www.listenlive.eu/pr.m3u
pure fm,Germany,http://fra.radiostream.de:37472/listen.pls
Radio 2Day,Germany,http://radio2day.ip-streaming.net/radio2day.m3u
Radio 21,Germany,http://188.94.97.91/radio21.mp3.m3u
Radio38 Braunschweig,Germany,http://stream.radio38.de/bs/mp3-128/listenlive/play.m3u
Radio38 Wolfsburg,Germany,http://stream.radio38.de/wb/mp3-128/listenlive/play.m3u
Radio 7,Germany,http://srv01.radio7.fmstreams.de/stream1/livestream.mp3.m3u
Radio 700,Germany,http://streamserver.funkhaus.info/listen.pls
Radio 8,Germany,http://stream.radio8.de:8000/live.m3u
Radio 90.1,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiomg/livestream.mp3.m3u
Radio 91.2,Germany,http://dd28838.kasserver.com:8004/listen.pls
RadioAktiv,Germany,http://stream.radioaktiv.org:8233/HiFi.m3u
Radio Alpenwelle,Germany,http://www.listenlive.eu/alpenwelle.m3u
Radio Arabella,Germany,http://rs6.stream24.net/stream.m3u
Radio Augsburg,Germany,http://login.streamplus.de/app.php/shoutcast/public/playlist/download/22469.m3u
Radio AWN,Germany,http://www.listenlive.eu/awn.m3u
Radio Bamberg,Germany,http://www.stream24.de/tune-in/r7341.pls
Radio Berg,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radioberg/livestream.mp3.m3u
Radio Bielefeld,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiobielefeld/livestream.mp3.m3u
Radio Blau,Germany,http://www.radioblau.de/stream/radioblau.m3u
Radio Bob!,Germany,http://streams.radiobob.de/bob-live/mp3-128/listenlive/play.m3u
Radio Bob! BOBs Alternative Rock,Germany,http://streams.radiobob.de/bob-alternative/mp3-128/listenlive/play.m3u
Radio Bob! BOBs Harte Saite,Germany,http://streams.radiobob.de/bob-hartesaite/mp3-128/listenlive/play.m3u
Radio Bob! Classic Rock,Germany,http://streams.radiobob.de/bob-classicrock/mp3-128/listenlive/play.m3u
Radio Bochum,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiobochum/livestream.mp3.m3u
Radio Bonn/Rhein-Sieg,Germany,http://ga-stream01.ga-bonn.de/live128.m3u
Radio Brocken,Germany,http://stream.radiobrocken.de/live/mp3-128/listenlive/play.m3u
Radio Brocken 80er,Germany,http://stream.radiobrocken.de/80er/mp3-128/listenlive/play.m3u
Radio Brocken 90er,Germany,http://stream.radiobrocken.de/90er/mp3-128/listenlive/play.m3u
Radio Brocken Lovesongs,Germany,http://stream.radiobrocken.de/love/mp3-128/listenlive/play.m3u
